	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	super_pop
NA19024	84.0516093232113	-4.643495347737568	0.5528917460846452	1.7518492285235503	6.276285888002196	-27.744967778708958	1.8275764571281772	-21.054447522773025	-3.654343350601583	-9.587731212038207	LWK	AFR
HG03117	89.33369246319033	-6.057772240820117	0.16854337716731474	1.2933864889374638	-14.29395772794905	-5.569035930654837	-1.7587814134433988	14.036764539235865	6.825766695356223	-8.532312746402091	ESN	AFR
NA19238	86.88637043931209	-7.74469158372441	-1.6014259865194886	2.287138942078653	-4.425176090473702	-8.884671113108787	-4.104918156673662	11.56350382028277	5.912613919244652	-2.0546966706970013	YRI	AFR
HG01956	85.77826345810531	-7.230643729762686	-1.5069999148374085	1.3073853136845393	8.501644482171338	-0.3667500088483772	0.2651712309630881	4.633185825057678	3.784742417697661	-4.063422571071407	ACB	AFR
HG00284	-29.434405147515342	38.695829221924534	-8.676417309416466	-13.295951574657334	-7.948707586146819	3.293332948707357	-5.290399329535425	9.760942801463113	-14.784353451063156	-2.992318792801515	FIN	EUR
NA19404	78.91300599498476	-5.447673172598971	-1.1939436189420363	0.8768616772396903	4.416518772969979	-22.29981003169602	-0.9770636075081501	-18.872856615707104	-11.935077231213052	-4.927891188869731	LWK	AFR
HG01530	-23.43050277963938	40.00767862273583	-8.156535432963329	-14.287922986004991	-1.0610060988131793	-1.1307606075449372	-2.260646165912842	0.5930103497020223	0.810666913505458	-6.831623646343563	IBS	EUR
NA19445	77.66247869083257	-7.663075915723885	0.14540376456387	-1.2938205732315733	-1.1081771639725604	-18.746479620480876	-0.7802857616220956	-13.161886252128488	-18.482430797449993	2.5041447205976746	LWK	AFR
HG01200	-18.47988064960876	25.53660887592934	-13.465472399223508	-10.583446670158123	-11.2291495721527	-1.7572681461059612	-7.719441430635142	3.6165031383591506	-3.2731592583792413	-4.882422111753377	PUR	AMR
NA20532	-23.21336024351746	38.369494978601445	-8.076339565346583	-11.94968668643357	-9.003559805552658	-2.6953325587195813	5.200707577042081	-5.1795781516894674	13.996142638065674	-4.5258363386745355	TSI	EUR
HG01086	-7.148019649196739	25.76592537474316	-11.678614225168923	-0.5442905635507552	6.348122244233098	7.390165727074666	1.9144689209846018	-2.7720348261755072	-8.693622549883209	-4.47652076061047	PUR	AMR
NA18934	83.13931905146079	-8.755061456400433	-1.755760142259758	-0.009920449866094255	3.6420285285864913	3.6971662106381507	2.7182720601344954	9.62394350865022	-3.805270616439143	0.48432551768216203	YRI	AFR
HG03595	-27.09982071830837	9.754424920228846	29.660389941026455	10.690659417385104	-15.148644347523936	-1.3205794202093735	1.0833481438480557	-4.915929564651995	-4.595956138976801	-5.596133866646509	BEB	SAS
HG02078	-38.35974040330914	-49.55849828219215	-1.2658271785038033	-8.599821055912171	-6.761592467477324	2.1346289785827723	15.22527518326602	-5.80102912558164	-1.8058131462728906	2.0099296834020937	KHV	EAS
NA19307	80.02695323856447	-4.781395485314731	-0.968019897006164	-0.8356905591796515	-12.211130883539024	-26.541592759405475	-0.4170575215065235	-24.55024230929086	-3.6516863800942385	-5.86828309711279	LWK	AFR
NA18878	82.08670974273971	-8.092706687614488	1.1280733152708902	0.476243993655589	-2.2516671189712705	-6.176229679655931	0.5633492377465084	13.193145843034749	0.564683926629416	-6.43738950976036	YRI	AFR
HG00157	-27.905168471894616	43.297365671739584	-15.342005662738998	-11.959634080428893	3.919973204518661	2.3857631490376345	-0.9216917017652739	4.491302087224243	-7.354983862496027	-2.5623108140570983	GBR	EUR
HG00732	-24.473572757184897	28.608665348542814	-15.844392737965448	1.0441131515507138	-9.219697466343872	-1.4794537668178258	5.4575767188897055	-5.076305304993402	-2.899889780123254	0.09008483137319882	PUR	AMR
HG03460	88.85414506587887	-6.5516723228411005	-0.3649869966690979	-1.2384554449049656	12.624050301607635	17.011869753686973	-1.2484342865577287	1.4298783107274908	10.950044096984877	1.9704742454044861	MSL	AFR
HG01088	18.280608244407436	15.564691171599371	-7.006736706375625	-1.2048643308301494	5.012160423606307	-5.440037063969818	11.432648647623703	9.76364168569939	-3.688044630156049	6.3244885307119505	PUR	AMR
HG03913	-28.281909329593798	8.733447899928334	26.696874046053036	8.393837101551185	0.634252095129943	-1.1324098088455832	-3.9613732496584513	2.8340327632620927	-5.4200465817116745	-6.059009391187734	BEB	SAS
